BPM_c,PG_c,NG_c,SG_c,PPG_c,PNG_c,MA_c,TR-c,RR,RD,neck,data
122.2889433,13.34768603,14.96821825,28.31590428,0.24473625,0.245905,0.111557231,0.253073333,21.26279755,1.001204303,0,0
92.79988864,5.376997044,5.754216361,11.13121341,0.322575,0.3239775,0.173464928,0.268345,25.22449803,1.320524959,0,0
87.47426799,5.482390892,4.318556279,9.800947171,0.31416,0.371756,0.260895094,0.07970875,16.52617126,1.517136139,0,0
118.2332989,9.465853867,20.50332165,29.96917552,0.255255,0.25221625,0.105196067,0.364026667,27.28364073,0.953828009,0,0
107.2736927,6.906510129,16.23794535,23.14445547,0.281061,0.278256,0.112855395,0.2248675,19.74496092,1.385147836,0,0
97.32728462,5.767853634,5.88629375,11.65414738,0.312913333,0.303563333,0.125846285,0.101915,22.34370578,0.805413294,0,0
147.1814748,15.8071141,12.56438104,28.37149514,0.20757,0.20009,0.089771827,0.14399,26.7714322,0.992479083,0,0
112.778775,22.42341404,10.66554821,33.08896225,0.25595625,0.27605875,0.161614287,0.343145,23.29260363,1.318464006,0,0
106.9875342,9.246767389,22.38614735,31.63291474,0.288354,0.272459,0.107102856,0.25408625,16.71558296,0.949861453,0,0
146.844675,38.34251943,7.337116206,45.67963564,0.207258333,0.201336667,0.105829943,0.297517,22.55575501,1.025599398,0,0
98.38424376,7.769984047,7.290096702,15.06008075,0.2734875,0.33636625,0.154779403,0.247151667,19.02494011,1.151904994,0,0
84.74232155,4.96721996,3.392224844,8.359444805,0.2987325,0.40929625,0.119235084,0.086331667,15.75911665,0.981100088,0,0
111.7185289,14.98835222,16.14247915,31.13083138,0.328933,0.208131,0.097321071,0.2585275,20.54791002,1.902998799,0,0
85.52348689,6.000700433,4.026132408,10.02683284,0.262111667,0.43945,0.097664039,0.137445,23.49729879,0.687739123,0,0
99.64460092,13.28093938,6.132438165,19.41337754,0.253919286,0.348220714,0.126153664,0.210219167,10.37696038,3.714775125,0,0
84.62657516,7.16667939,4.225377719,11.39205711,0.276626429,0.432370714,0.097682,0.261955833,10.3551917,3.920146891,0,0
102.9583362,7.985825923,9.107252573,17.0930785,0.27404,0.30872,0.118985401,0.180268,9.089394192,3.63701177,0,0
125.8874409,14.26672589,10.22907739,24.49580328,0.238425,0.23819125,0.096050689,0.2244,22.18151503,2.470707128,0,0
74.92250204,4.034974601,2.611954995,6.646929595,0.3351975,0.46563,0.259024569,0.057035,27.70773877,1.394867359,0,0
109.0974549,11.18309596,10.88586965,22.0689656,0.233937,0.31603,0.102403323,0.199155,10.56488689,3.806540746,0,0
99.46808259,6.842462668,6.954239734,13.7967024,0.32351,0.279698571,0.117680586,0.174065833,11.47962844,2.170197453,0,0
95.63505662,6.103515972,4.696050618,10.79956659,0.279752,0.347633,0.224377432,0.08204625,17.85507039,1.721073111,0,0
170.0147504,26.11171898,26.93106012,53.0427791,0.174845,0.178065556,0.094742143,0.22930875,18.08656229,1.381994961,0,0
98.19605661,6.474838004,5.419536462,11.89437447,0.27418875,0.33683375,0.157963821,0.150535,21.50506803,0.985096687,0,0
158.6823022,20.79780328,47.45594465,68.25374793,0.204765,0.173349,0.146183311,0.343145,27.29524585,1.413743464,1,0
88.94126541,5.146076573,4.531620354,9.677696927,0.31486125,0.35974125,0.244282505,0.092253333,20.72710691,1.914584493,1,0
92.64358469,5.980813707,4.699429738,10.68024345,0.32164,0.326003333,0.33717678,0.1435225,22.73959001,1.782539698,1,0
82.97990042,5.798705124,4.002904219,9.801609342,0.268033333,0.455033333,0.153735216,0.158015,24.94019549,0.743465442,1,0
