BPM_c,PG_c,NG_c,SG_c,PPG_c,PNG_c,MA_c,TR-c,RR,RD,neck,data
85.15038166,16.19797705,18.67192607,34.86990312,0.224224286,0.480411429,0.071395038,0.524696667,10.41941623,1.982254033,0,1
129.2692517,18.11894757,14.85410609,32.97305366,0.2353225,0.228825,0.046585963,0.349546667,14.83166065,0.68743659,0,1
77.51437246,5.365531997,2.615424413,7.98095641,0.223175,0.550875,0.048615842,0.12656,24.41257247,0.256405418,0,1
95.01058689,6.83259695,9.002739419,15.83533637,0.297674286,0.333834286,0.089544295,0.266491667,12.91277849,2.451574993,0,1
88.41137391,6.446875673,6.458443746,12.90531942,0.314462857,0.364182857,0.098593012,0.232403333,9.643542523,2.905628207,0,1
64.03442491,6.058881373,4.284740989,10.34362236,0.218768,0.718228,0.074228541,0.57743,10.7789982,1.96518358,0,1
92.74645438,12.11709514,10.0786211,22.19571624,0.2827825,0.3641425,0.104780813,0.356111429,10.08305073,3.972495095,0,1
64.91117987,5.419183784,1.464344507,6.88352829,0.217525,0.706815,0.082980041,0.19888,26.62855824,0.71181639,0,1
66.62151209,5.128322712,1.516529844,6.644852556,0.289845,0.610765,0.095115429,0.07006,15.11453035,1.345655966,0,1
96.54062751,14.82936359,18.5879852,33.41734879,0.255832,0.365668,0.059751679,0.582515,10.77243764,2.304985426,0,1
59.96312268,4.856287052,1.497352089,6.353639141,0.19775,0.802865,0.037018497,0.23165,16.78702028,1.614308266,0,1
95.30835784,17.93120356,10.49163669,28.42284025,0.273585556,0.35595,0.112973866,0.2641375,9.014829394,3.348188531,0,1
93.84472452,10.01201978,5.670079662,15.68209944,0.30962,0.329734,0.11555803,0.3195075,13.80586197,3.018430288,0,1
89.08950526,6.4715763,15.14988732,21.62146362,0.333726667,0.339753333,0.172287636,0.24521,10.3827425,3.962436292,0,1
79.22020908,4.270410815,4.195493584,8.4659044,0.3534075,0.403975,0.062479433,0.05537,13.53143352,0.88612503,0,1
95.38445233,6.235824422,8.345713104,14.58153753,0.25877,0.370263333,0.160020208,0.30284,26.65529374,1.957616822,0,1
86.40739647,5.160898446,3.747385251,8.908283696,0.321485,0.3729,0.159665304,0.11187,27.96068727,0.743471476,0,1
70.14180335,3.813010879,3.453805036,7.266815915,0.44635,0.40906,0.191127695,0.235416667,15.10593034,2.375102539,0,1
