BPM_c,PG_c,NG_c,SG_c,PPG_c,PNG_c,MA_c,TR-c,RR,RD,neck,data
169.6019317,26.25825876,27.03458966,53.29284842,0.175427222,0.178342333,0.094867992,0.22979925,18.04287167,1.382331328,0,0
158.1090162,20.73015103,46.11100916,66.84116019,0.2050156,0.1744694,0.146521854,0.342942,27.23698492,1.414347836,1,0
102.7217189,10.4692705,7.130477671,17.59974817,0.244557,0.339545375,0.140840098,0.194628286,10.55972156,2.652558676,1,0
88.7514228,5.124126581,4.514956708,9.63908329,0.31553475,0.36051075,0.244479308,0.092450667,20.68954816,1.914887951,1,0
107.9227273,10.42160485,6.766860988,17.18846584,0.200830333,0.355123,0.175520316,0.321391,29.05360778,1.709806074,1,0
92.22393406,6.019621388,4.537747199,10.55736859,0.321703333,0.328887,0.336777313,0.1400815,22.6669563,1.782648812,1,0
82.83848842,5.757943405,4.017452367,9.775395772,0.269231333,0.455069667,0.153532534,0.1588215,24.88696135,0.74371661,1,0
42.6609937,3.84333827,0.73345824,4.57679651,0.125558,1.280879,0.064857928,,29.01411488,1.589842681,1,0
121.3917565,26.60701334,14.77773263,41.38474597,0.295155,0.1991125,0.113631486,,16.41480429,1.582708157,1,0
115.1923574,15.7851372,17.48751019,33.27264739,0.200518,0.320349889,0.074167111,0.226636875,10.131986,3.162118287,1,0
83.48650788,11.40974159,9.347196292,20.75693789,0.2571128,0.4615662,0.098841431,0.34645575,12.98340461,1.925213754,1,0
140.241243,25.35597567,21.81649081,47.17246647,0.2018298,0.2260044,0.080113208,0.31225525,23.50739778,1.798577462,1,0
103.9515447,7.223066733,15.80318804,23.02625478,0.224671778,0.352520222,0.090439525,0.236943875,10.53713206,3.880919781,1,0
114.1174454,14.84455255,15.67982024,30.52437279,0.245611125,0.280163,0.127996891,0.390996714,11.99366015,3.563839852,1,0
93.98358838,17.91019397,8.019013734,25.92920771,0.297029,0.341380333,0.197577211,0.5767235,22.3504892,2.040691939,1,0
103.8578778,11.09057027,6.984323548,18.07489382,0.206972889,0.370739667,0.256132725,0.119584625,10.34644556,7.574771389,1,0
85.73815242,4.937787324,3.602157547,8.539944871,0.299438429,0.400366714,0.235528522,0.049973333,10.52327881,4.678712474,1,0
91.17962995,6.698048094,3.895036615,10.59308471,0.227824857,0.430216857,0.143999352,0.062779,11.95559215,3.983387949,1,0
127.460415,18.38823374,16.49452319,34.88275693,0.202247846,0.268486538,0.109277326,0.261969583,9.171319328,4.302419732,1,0
121.4205291,17.39593131,16.51790896,33.91384027,0.228628,0.265522375,0.163742402,0.118865143,13.73533924,3.975869142,1,0
85.03871387,4.244666,6.892445138,11.13711114,0.370232125,0.335328875,0.25954655,0.241879857,10.26681923,5.413140363,1,0
107.2299496,12.34724143,14.7647918,27.11203323,0.238622667,0.3209225,0.126502119,0.2582372,15.50088394,1.741174075,1,0
98.31960097,6.661913866,11.28130555,17.94321942,0.274139429,0.336115286,0.128017043,0.216134667,13.10295714,1.841206629,1,0
92.09130136,6.335911782,4.092694154,10.42860594,0.300464667,0.351062667,0.162824993,0.1157195,26.68089648,0.754011621,1,0
98.5140793,6.454894863,5.272614476,11.72750934,0.273291667,0.335758333,0.16244651,0.092763,29.63172214,0.983128862,1,0
94.98602688,7.305826912,5.790621752,13.09644866,0.267848143,0.363823714,0.209887856,0.224567667,13.10832171,3.207865427,1,0
103.1353357,18.37895847,11.54000901,29.91896748,0.24338575,0.338374125,0.094997256,0.468767714,11.76882035,3.278284989,1,0
92.98279508,7.385596771,3.777575071,11.16317184,0.216447,0.428833667,0.146038612,0.0220195,23.52466993,1.771684637,1,0
76.59587506,6.981363512,2.26688208,9.248245592,0.164912,0.61842,0.109596166,,26.79253203,0.8969164,1,0
101.2878069,8.52014456,6.812559844,15.3327044,0.207077,0.3852944,0.058662168,0.16561475,15.50839224,1.817538401,1,0
97.67684917,11.85430021,9.249114402,21.10341461,0.224344571,0.389925857,0.076735845,0.195989167,12.14608337,2.370791464,1,0
108.9247741,26.68323147,27.37558442,54.05881589,0.212816125,0.33802275,0.072233956,0.171069429,12.11391441,3.25590326,1,0
152.8261373,33.4017435,29.16848017,62.57022367,0.1459846,0.2466184,0.123513584,0.3733945,21.66976364,1.598619087,1,0
149.4379266,13.93171888,11.31436155,25.24608043,0.185526,0.2159785,0.052659913,,23.93800058,0.94157439,1,0
94.08485388,11.10316734,4.828925886,15.93209322,0.2824118,0.3553104,0.149821135,0.23729525,17.21811012,1.666034254,1,0
113.1345434,9.761383247,16.41297686,26.17436011,0.17639025,0.35395175,0.125145729,0.209888,11.49832134,2.56531999,1,0
73.68717094,2.545091935,3.587589343,6.132681278,0.446012,0.368241,0.148777397,,26.10442379,0.785833109,1,0
124.8229075,14.51536072,16.33460837,30.84996909,0.14874875,0.33193225,0.059116539,0.277352,23.00903757,0.687851857,1,0
53.05232108,3.097248697,0.962222328,4.059471025,0.31858,0.812379,0.058624339,,17.53879801,0.883996863,0,1
