BPM_c,PG_c,NG_c,SG_c,PPG_c,PNG_c,MA_c,TR-c,RR,RD,neck
111.1986286,8.666428255,8.6139657,17.28039395,0.23843,0.301145,0.109548808,0.25764,21.97737795,1.422509442,0
102.9683487,21.15000546,8.77623425,29.92623971,0.188333333,0.39437,0.059168214,0.467594,14.07670868,0.450795013,0
117.4720025,17.03527993,8.691825332,25.72710527,0.14351,0.36725,0.044542872,0.236923333,19.86432665,0.255042872,0
122.6975046,19.46778058,12.0078349,31.47561548,0.1759975,0.31301,0.073525603,0.272706667,25.88851542,0.180157168,0
119.8585669,38.1543898,15.94058052,54.09497033,0.178163333,0.322426667,0.038481668,0.285325,26.09206149,0.358769111,0
67.43947307,6.895289973,2.119920568,9.015210541,0.195113333,0.694573333,0.067741216,0.30736,17.61690283,0.281988017,0
101.9142901,7.212425206,4.820936153,12.03336136,0.233345,0.355385,0.054265566,0.0113,26.37722063,0.292788388,0
113.4558657,101.3722371,16.29952044,117.6717576,0.142945,0.385895,0.051257728,0.83281,17.34640481,0.827842583,0
94.07750732,14.95392321,10.23109683,25.18502004,0.173342,0.46443,0.049628419,0.468385,14.40513975,0.30417769,0
101.3791793,25.84150802,7.924942799,33.76645082,0.1641325,0.427705,0.060562565,0.49607,23.72535529,0.386424291,0
